               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11537,            0.017005,            0.077651,                   0,                   0,                   0,                   0,            0.085352,            0.011983,            0.059306,              0.0003,              0.0003,              0.0973
                   1,             0.10771,            0.019634,            0.075314,           0.0003888,            0.033333,          0.00021367,          2.1367e-05,            0.071506,            0.013503,            0.057437,          0.00069861,          0.00069861,            0.093699
                   2,             0.09408,            0.020213,            0.072534,           0.0051444,                0.35,           0.0072559,           0.0011266,            0.054834,            0.015549,            0.054212,           0.0010956,           0.0010956,            0.090096
                   3,            0.079801,            0.025722,            0.067704,            0.021025,                0.95,             0.11221,             0.02122,            0.052749,            0.015438,            0.049914,           0.0014911,           0.0014911,            0.086491
                   4,            0.075362,            0.026507,            0.061833,            0.017676,             0.96667,             0.16775,            0.031852,             0.05406,            0.014815,            0.047286,            0.001885,            0.001885,            0.082885
                   5,            0.071816,             0.02611,            0.057879,            0.017674,                   1,             0.39217,             0.13173,            0.047822,            0.015113,            0.043785,           0.0022772,           0.0022772,            0.079277
                   6,            0.069441,            0.021467,             0.05379,            0.014969,                   1,            0.031754,            0.009474,            0.054297,            0.013314,            0.039027,           0.0026679,           0.0026679,            0.075668
                   7,             0.06941,            0.020824,            0.048379,            0.013172,                   1,            0.027797,           0.0091222,            0.078797,            0.010242,            0.035774,            0.003057,            0.003057,            0.072057
                   8,            0.082461,            0.019016,            0.045128,            0.036233,            0.083333,            0.045611,            0.012183,            0.069571,            0.010974,            0.034307,           0.0034446,           0.0034446,            0.068445
                   9,            0.076128,            0.020225,            0.041958,            0.084137,                   1,             0.10325,            0.036089,            0.064558,            0.010243,             0.03379,           0.0038305,           0.0038305,            0.064831
                  10,            0.077516,            0.018119,            0.039681,            0.097094,                   1,             0.11776,            0.039959,            0.070666,           0.0096099,            0.033471,           0.0042149,           0.0042149,            0.061215
                  11,            0.077059,             0.01873,            0.038014,            0.045512,             0.94643,            0.050041,             0.01581,            0.086984,           0.0083966,            0.034518,           0.0045976,           0.0045976,            0.057598
                  12,            0.083228,             0.01853,            0.036769,            0.095235,             0.36667,             0.11817,            0.024927,            0.064756,            0.010393,            0.033736,           0.0049788,           0.0049788,            0.053979
                  13,            0.081167,            0.018629,             0.03625,             0.29002,             0.38479,             0.36829,             0.05656,            0.079631,           0.0085873,            0.031373,           0.0053584,           0.0053584,            0.050358
                  14,            0.076474,            0.016608,            0.034895,            0.059298,             0.75318,            0.072983,            0.025344,            0.080944,           0.0089091,            0.029516,           0.0057365,           0.0057365,            0.046736
                  15,             0.09239,            0.012861,            0.034084,             0.14287,                0.05,            0.071475,            0.014552,            0.083617,           0.0074359,            0.028908,           0.0061129,           0.0061129,            0.043113
                  16,            0.088959,             0.01421,            0.033574,             0.11947,             0.48333,             0.19136,            0.062862,            0.072044,           0.0082091,            0.028784,           0.0064877,           0.0064877,            0.039488
                  17,            0.082606,            0.017388,            0.033548,            0.094809,             0.26667,             0.11675,            0.023941,            0.072672,           0.0085048,            0.027403,            0.006861,            0.006861,            0.035861
                  18,            0.083886,            0.014913,            0.031904,             0.15164,             0.48333,             0.19452,            0.080807,            0.065047,           0.0096432,            0.025654,           0.0072327,           0.0072327,            0.032233
                  19,            0.075901,            0.015924,            0.032152,             0.77255,             0.46667,             0.49105,             0.15965,            0.058631,            0.010037,            0.028255,           0.0076028,           0.0076028,            0.028603
                  20,            0.067613,            0.018648,            0.031298,            0.061696,             0.76667,            0.082693,            0.030683,            0.064042,           0.0099497,            0.026528,           0.0079713,           0.0079713,            0.024971
                  21,            0.073508,            0.018133,            0.028314,             0.23352,             0.61667,             0.19714,            0.033755,            0.088418,           0.0092929,            0.023772,           0.0083383,           0.0083383,            0.021338
                  22,            0.093868,            0.011237,             0.02837,             0.64498,             0.33333,             0.18235,            0.054197,            0.060605,           0.0097445,            0.016488,           0.0087036,           0.0087036,            0.017704
                  23,            0.074007,            0.016523,            0.026368,            0.079249,             0.23333,             0.11831,            0.015977,            0.089926,           0.0072561,            0.013865,           0.0090674,           0.0090674,            0.014067
                  24,            0.097407,            0.011536,             0.02488,             0.26201,             0.72155,              0.4845,             0.15643,            0.073688,           0.0080858,            0.012209,           0.0094296,           0.0094296,             0.01043
